Date,Open,High,Low,Close,Adj Close,Volume
2018-03-08,107000.000000,109500.000000,106000.000000,109000.000000,108381.562500,76117
2018-03-09,109000.000000,110000.000000,108000.000000,109000.000000,108381.562500,64150
2018-03-12,110000.000000,110000.000000,108500.000000,109500.000000,108878.718750,72719
2018-03-13,109500.000000,110500.000000,107500.000000,110500.000000,109873.046875,76070
2018-03-14,109500.000000,113000.000000,109000.000000,113000.000000,112358.867188,98613
2018-03-15,113500.000000,113500.000000,110500.000000,112000.000000,111364.539063,67977
2018-03-16,112000.000000,113000.000000,110500.000000,110500.000000,109873.046875,49876
2018-03-19,111500.000000,112000.000000,110000.000000,110500.000000,109873.046875,49270
2018-03-20,109500.000000,110000.000000,106500.000000,108000.000000,107387.234375,60742
2018-03-21,109000.000000,110000.000000,108000.000000,109000.000000,108381.562500,35565
2018-03-22,109500.000000,112500.000000,108000.000000,110500.000000,109873.046875,93634
2018-03-23,107000.000000,109000.000000,105000.000000,105000.000000,104404.257813,89177
2018-03-26,105000.000000,106000.000000,102000.000000,105000.000000,104404.257813,60400
2018-03-27,105500.000000,106500.000000,104500.000000,104500.000000,103907.093750,81406
2018-03-28,103500.000000,105000.000000,100000.000000,102000.000000,101421.273438,89430
2018-03-29,102000.000000,104500.000000,101500.000000,104000.000000,103409.929688,44056
2018-03-30,105000.000000,106000.000000,103000.000000,105000.000000,104404.257813,50924
2018-04-02,104500.000000,106000.000000,102500.000000,103500.000000,102912.765625,76457
2018-04-03,101500.000000,105500.000000,101000.000000,104000.000000,103409.929688,54521
2018-04-04,104000.000000,104500.000000,102000.000000,103000.000000,102415.601563,78363
2018-04-05,103000.000000,103500.000000,101000.000000,101500.000000,100924.109375,82746
2018-04-06,101000.000000,102000.000000,100000.000000,101500.000000,100924.109375,80591
2018-04-09,101500.000000,106000.000000,101000.000000,105000.000000,104404.257813,83602
2018-04-10,104500.000000,105000.000000,103000.000000,104500.000000,103907.093750,49140
2018-04-11,104000.000000,108000.000000,104000.000000,107000.000000,106392.906250,78226
2018-04-12,107500.000000,108000.000000,105500.000000,106500.000000,105895.742188,54421
2018-04-13,106500.000000,108500.000000,105000.000000,106500.000000,105895.742188,71812
2018-04-16,107500.000000,108000.000000,106000.000000,107000.000000,106392.906250,41916
2018-04-17,106500.000000,107500.000000,103500.000000,106000.000000,105398.578125,65185
2018-04-18,105500.000000,106500.000000,102000.000000,103500.000000,102912.765625,91136
2018-04-19,102500.000000,105000.000000,102000.000000,102500.000000,101918.437500,66462
2018-04-20,102500.000000,105000.000000,102000.000000,103000.000000,102415.601563,75442
2018-04-23,103000.000000,106000.000000,102500.000000,106000.000000,105398.578125,56555
2018-04-24,106500.000000,107000.000000,104500.000000,105000.000000,104404.257813,40750
2018-04-25,104500.000000,105500.000000,104000.000000,105000.000000,104404.257813,41404
2018-04-26,105000.000000,106000.000000,104000.000000,105000.000000,104404.257813,45262
2018-04-27,105000.000000,105500.000000,102500.000000,102500.000000,101918.437500,48015
2018-04-30,103000.000000,103500.000000,100500.000000,101500.000000,100924.109375,86514
2018-05-02,100500.000000,102500.000000,99900.000000,100500.000000,99929.789063,100477
2018-05-03,103000.000000,103500.000000,101500.000000,102500.000000,101918.437500,64667
2018-05-04,102000.000000,102000.000000,100000.000000,100500.000000,99929.789063,64546
2018-05-08,100500.000000,101500.000000,98700.000000,98700.000000,98140.000000,91451
2018-05-09,98700.000000,100000.000000,98300.000000,98400.000000,97841.703125,56194
2018-05-10,98500.000000,98700.000000,97200.000000,97700.000000,97145.671875,69960
2018-05-11,97900.000000,99400.000000,97500.000000,98100.000000,97543.406250,56197
2018-05-14,99000.000000,99200.000000,98000.000000,98000.000000,97443.968750,35015
2018-05-15,98200.000000,98500.000000,95600.000000,96700.000000,96151.343750,74353
2018-05-16,96600.000000,97600.000000,95300.000000,96600.000000,96051.914063,52982
2018-05-17,96700.000000,96800.000000,94300.000000,94500.000000,93963.828125,71786
2018-05-18,95000.000000,95800.000000,92000.000000,93800.000000,93267.796875,112617
2018-05-21,94200.000000,94500.000000,91500.000000,91900.000000,91378.578125,122133
2018-05-23,91500.000000,93700.000000,90000.000000,90200.000000,89688.226563,127614
2018-05-24,90500.000000,90900.000000,87700.000000,87900.000000,87401.273438,131400
2018-05-25,87300.000000,88200.000000,84200.000000,84500.000000,84020.570313,175719
2018-05-28,84500.000000,86000.000000,81300.000000,85100.000000,84617.164063,199932
2018-05-29,85100.000000,89600.000000,84600.000000,88600.000000,88097.304688,155374
2018-05-30,87900.000000,89000.000000,86400.000000,87300.000000,86804.679688,73102
2018-05-31,87300.000000,88900.000000,86900.000000,88900.000000,88395.601563,68285
2018-06-01,89000.000000,89000.000000,87200.000000,88100.000000,87600.140625,36261
2018-06-04,87500.000000,87900.000000,85000.000000,85700.000000,85213.757813,72526
2018-06-05,85400.000000,87500.000000,85400.000000,86400.000000,85909.789063,66787
2018-06-07,86800.000000,88200.000000,86300.000000,88000.000000,87500.710938,50018
2018-06-08,88300.000000,90600.000000,88300.000000,88700.000000,88196.734375,70788
2018-06-11,89500.000000,90000.000000,89200.000000,89700.000000,89191.062500,44843
2018-06-12,89800.000000,90900.000000,88600.000000,90100.000000,89588.796875,58221
2018-06-14,90600.000000,92700.000000,90100.000000,91100.000000,90583.117188,105211
2018-06-15,91600.000000,96300.000000,91000.000000,96300.000000,95753.617188,212308
2018-06-18,96600.000000,96700.000000,91400.000000,93000.000000,92472.335938,98363
2018-06-19,92900.000000,92900.000000,88300.000000,88700.000000,88196.734375,91730
2018-06-20,89200.000000,92500.000000,89000.000000,92000.000000,91478.015625,49810
2018-06-21,91700.000000,94100.000000,91500.000000,92300.000000,91776.312500,51329
2018-06-22,91200.000000,93200.000000,90100.000000,93000.000000,92472.335938,48947
2018-06-25,93000.000000,93900.000000,91300.000000,92300.000000,91776.312500,34462
2018-06-26,90400.000000,94500.000000,90400.000000,92700.000000,92174.039063,62335
2018-06-27,92700.000000,93400.000000,91200.000000,91800.000000,91279.148438,28833
2018-06-28,91800.000000,93500.000000,90600.000000,92800.000000,92273.476563,43259
2018-06-29,92000.000000,93600.000000,90900.000000,92900.000000,92372.906250,245794
2018-07-02,93100.000000,94900.000000,92200.000000,92500.000000,91975.179688,68733
2018-07-03,92800.000000,93300.000000,90900.000000,91500.000000,90980.851563,48221
2018-07-04,90700.000000,94200.000000,90700.000000,92200.000000,91676.875000,50322
2018-07-05,92000.000000,92900.000000,90200.000000,90600.000000,90085.953125,28387
2018-07-06,90600.000000,93800.000000,90200.000000,93800.000000,93267.796875,55735
2018-07-09,93000.000000,94000.000000,92400.000000,92900.000000,92372.906250,21088
2018-07-10,92600.000000,94200.000000,92600.000000,93300.000000,92770.640625,35592
2018-07-11,92200.000000,94200.000000,92100.000000,94000.000000,93466.664063,32386
2018-07-12,94400.000000,94600.000000,93500.000000,94000.000000,93466.664063,31565
2018-07-13,94000.000000,96000.000000,94000.000000,95100.000000,94560.421875,45814
2018-07-16,95200.000000,96800.000000,94300.000000,94400.000000,93864.398438,43834
2018-07-17,94400.000000,95500.000000,94300.000000,94400.000000,93864.398438,46270
2018-07-18,94400.000000,95300.000000,93800.000000,94200.000000,93665.531250,30072
2018-07-19,94000.000000,94700.000000,93000.000000,93200.000000,92671.203125,34627
2018-07-20,93200.000000,93200.000000,91100.000000,92400.000000,91875.742188,33556
2018-07-23,93200.000000,93200.000000,89500.000000,89900.000000,89389.929688,48385
2018-07-24,90300.000000,91100.000000,89900.000000,90400.000000,89887.093750,23167
2018-07-25,89300.000000,90200.000000,86500.000000,87600.000000,87102.976563,76027
2018-07-26,87300.000000,89700.000000,86700.000000,88400.000000,87898.437500,37844
2018-07-27,88500.000000,89000.000000,87600.000000,88100.000000,87600.140625,31826
2018-07-30,88000.000000,88100.000000,86700.000000,87100.000000,86605.812500,33784
2018-07-31,87600.000000,90000.000000,87100.000000,89700.000000,89191.062500,38388
2018-08-01,90100.000000,91600.000000,90000.000000,90100.000000,89588.796875,22477
2018-08-02,89800.000000,90800.000000,88100.000000,88400.000000,87898.437500,18692
2018-08-03,88600.000000,90000.000000,88100.000000,88800.000000,88296.171875,20475
2018-08-06,89000.000000,90500.000000,88900.000000,90000.000000,89489.359375,25749
2018-08-07,89500.000000,90000.000000,88500.000000,89000.000000,88495.031250,30090
2018-08-08,88600.000000,89900.000000,87800.000000,88200.000000,87699.570313,29638
2018-08-09,88300.000000,88900.000000,87300.000000,87500.000000,87003.546875,34864
2018-08-10,87400.000000,88500.000000,87200.000000,88000.000000,87500.710938,29755
2018-08-13,87600.000000,88000.000000,83400.000000,85500.000000,85014.890625,59983
2018-08-14,84500.000000,85300.000000,83100.000000,84400.000000,83921.132813,59183
2018-08-16,84300.000000,84900.000000,82000.000000,82600.000000,82131.343750,63264
2018-08-17,82300.000000,83200.000000,81700.000000,82000.000000,81534.750000,61555
2018-08-20,82100.000000,82700.000000,80100.000000,81300.000000,80838.726563,68620
2018-08-21,81200.000000,83100.000000,80900.000000,82500.000000,82031.914063,55132
2018-08-22,82500.000000,82700.000000,80100.000000,80500.000000,80043.265625,85857
2018-08-23,81200.000000,81300.000000,79500.000000,79800.000000,79347.234375,67654
2018-08-24,80500.000000,82300.000000,79800.000000,81800.000000,81335.882813,63613
2018-08-27,82400.000000,82500.000000,81500.000000,82400.000000,81932.484375,45642
2018-08-28,82600.000000,82900.000000,82100.000000,82600.000000,82131.343750,29050
2018-08-29,82200.000000,85600.000000,82200.000000,85200.000000,84716.593750,53532
2018-08-30,85200.000000,87000.000000,84200.000000,86000.000000,85512.054688,57420
2018-08-31,86000.000000,87600.000000,85100.000000,86600.000000,86108.648438,56777
2018-09-03,87200.000000,88400.000000,86500.000000,86700.000000,86208.085938,65081
2018-09-04,86800.000000,88300.000000,86800.000000,88100.000000,87600.140625,45470
2018-09-05,88200.000000,89200.000000,87700.000000,87800.000000,87301.843750,44413
2018-09-06,88000.000000,89300.000000,88000.000000,89000.000000,88495.031250,43615
2018-09-07,89400.000000,90100.000000,88200.000000,90000.000000,89489.359375,43401
2018-09-10,90000.000000,91000.000000,89500.000000,90700.000000,90185.390625,37223
2018-09-11,90000.000000,90000.000000,88000.000000,88800.000000,88296.171875,56866
2018-09-12,89900.000000,89900.000000,86500.000000,88400.000000,87898.437500,51954
2018-09-13,89000.000000,89000.000000,86700.000000,87100.000000,86605.812500,40430
2018-09-14,86600.000000,87600.000000,86300.000000,86600.000000,86108.648438,28226
2018-09-17,86600.000000,87700.000000,86000.000000,86200.000000,85710.921875,26521
2018-09-18,85800.000000,86000.000000,83600.000000,84100.000000,83622.835938,60838
2018-09-19,84100.000000,84100.000000,82200.000000,82500.000000,82031.914063,58072
2018-09-20,82500.000000,84100.000000,82000.000000,82800.000000,82330.210938,47162
2018-09-21,84200.000000,86200.000000,83700.000000,84400.000000,83921.132813,70154
2018-09-27,84800.000000,86000.000000,84700.000000,85200.000000,84716.593750,31796
2018-09-28,85900.000000,86000.000000,85100.000000,85200.000000,84716.593750,21436
2018-10-01,86000.000000,86200.000000,84300.000000,85000.000000,84517.726563,25687
2018-10-02,84700.000000,86200.000000,83800.000000,84100.000000,83622.835938,29502
2018-10-04,84400.000000,84400.000000,80900.000000,80900.000000,80440.992188,43360
2018-10-05,80600.000000,81300.000000,78400.000000,80000.000000,79546.101563,48961
2018-10-08,79500.000000,80400.000000,77600.000000,77600.000000,77159.718750,66894
2018-10-10,77500.000000,78300.000000,72500.000000,73200.000000,72784.679688,114986
2018-10-11,70000.000000,73900.000000,70000.000000,72200.000000,71790.351563,82679
2018-10-12,73400.000000,73900.000000,71500.000000,72000.000000,71591.492188,35101
2018-10-15,71600.000000,72900.000000,71600.000000,71700.000000,71293.187500,21846
2018-10-16,71300.000000,72600.000000,69900.000000,70600.000000,70199.429688,36731
2018-10-17,71300.000000,71900.000000,70900.000000,71700.000000,71293.187500,24505
2018-10-18,71700.000000,71800.000000,70000.000000,70600.000000,70199.429688,19012
2018-10-19,70300.000000,70400.000000,68900.000000,69800.000000,69403.968750,44664
2018-10-22,69600.000000,69700.000000,65800.000000,67500.000000,67117.023438,135278
2018-10-23,67500.000000,68400.000000,64600.000000,65500.000000,65128.367188,65936
2018-10-24,66400.000000,66800.000000,65500.000000,66400.000000,66023.265625,48390
2018-10-25,65100.000000,66100.000000,63200.000000,65700.000000,65327.234375,37265
2018-10-26,66000.000000,66800.000000,62000.000000,63500.000000,63139.714844,46519
2018-10-29,62800.000000,64000.000000,57300.000000,58000.000000,57670.921875,135853
2018-10-30,57900.000000,60700.000000,57400.000000,60200.000000,59858.437500,60286
2018-10-31,60200.000000,60700.000000,58500.000000,60400.000000,60057.304688,37383
2018-11-01,60600.000000,62900.000000,60200.000000,60800.000000,60455.035156,36257
2018-11-02,60800.000000,64600.000000,60800.000000,64500.000000,64134.042969,55085
